Epoch,Train Loss,Train Error,Val Loss,Val Error
0,0.6872518068552017,0.45328125,0.6589452862739563,0.319375
1,0.6637626016139984,0.32875,0.6063300776481628,0.235
2,0.6276656836271286,0.2284375,0.531715030670166,0.183125
3,0.5740725827217102,0.16546875,0.44195603370666503,0.14125
4,0.508440516591072,0.1309375,0.36244833827018735,0.126875
5,0.4445742106437683,0.10859375,0.30911664307117465,0.11625
6,0.38825353890657427,0.09109375,0.2813137871026993,0.110625
7,0.33981155693531034,0.0821875,0.266868636906147,0.108125
8,0.3009899006783962,0.07125,0.2602455559372902,0.1025
9,0.2715042757987976,0.06484375,0.2578885158896446,0.101875
10,0.24535185039043428,0.06015625,0.2617820712924004,0.105
11,0.22464361682534217,0.056875,0.26349297165870667,0.10125
12,0.20821960359811784,0.050625,0.26222802326083183,0.099375
13,0.18964340575039387,0.04609375,0.2613030165433884,0.095
14,0.1760760312154889,0.04140625,0.26557103529572484,0.095
15,0.16314637497067452,0.0378125,0.26777412548661234,0.095
16,0.1523299677670002,0.03609375,0.274030736386776,0.094375
17,0.14465658225119113,0.0340625,0.27446898341178894,0.09125
18,0.13580553509294988,0.0309375,0.2805705778300762,0.090625
19,0.12449394453316927,0.029375,0.2833903533220291,0.089375
20,0.1188724710047245,0.02640625,0.28176964849233627,0.085
21,0.1102110606059432,0.02453125,0.28827432692050936,0.08625
22,0.10414112895727158,0.0228125,0.290042020380497,0.08625
23,0.09896668223664165,0.020625,0.29356149330735204,0.085625
24,0.09198746604844928,0.0190625,0.2949161706864834,0.0825
