Epoch,Train Loss,Train Error,Val Loss,Val Error
0,0.5463004821538925,0.25796875,0.4203035628795624,0.185
1,0.33559494733810424,0.124375,0.33275643706321717,0.14125
2,0.2248626247048378,0.07421875,0.2968244332075119,0.134375
3,0.14199599832296372,0.03640625,0.28593081146478655,0.121875
4,0.08295104965567589,0.0115625,0.2813657173514366,0.1225
5,0.046395417358726265,0.00234375,0.28026104748249053,0.11625
6,0.026998269613832237,0.00046875,0.27553214997053144,0.110625
7,0.01674293614923954,0.0,0.2796788357198238,0.109375
8,0.01121192471589893,0.0,0.2839046059548855,0.109375
9,0.008062828746624291,0.0,0.2882472813129425,0.10625
10,0.006053298248443753,0.0,0.2930003361403942,0.10625
11,0.0047001159330829975,0.0,0.2984917782247066,0.105625
12,0.0037589310039766134,0.0,0.301517633497715,0.105
13,0.003056901522213593,0.0,0.3056882989406586,0.105
14,0.002528339952696115,0.0,0.3086661523580551,0.105
15,0.002123806221643463,0.0,0.31125242471694947,0.105625
16,0.0018015840812586248,0.0,0.31428824685513973,0.105625
17,0.0015518339863047003,0.0,0.31770020835101603,0.105
18,0.0013397542323218658,0.0,0.32005324080586434,0.105
19,0.0011673749046167358,0.0,0.3235857256501913,0.104375
20,0.00102422283613123,0.0,0.32627581305801867,0.10375
21,0.0009036721353186295,0.0,0.32837749272584915,0.104375
22,0.0008016339730238541,0.0,0.3305280289798975,0.104375
23,0.0007145733913057484,0.0,0.3335352463275194,0.103125
24,0.0006386786015355028,0.0,0.3353454718738794,0.104375
