Epoch,Train Loss,Train Error,Val Loss,Val Error
0,0.6935660368204117,0.4803125,0.8729888248443604,0.503125
1,0.612769760787487,0.35625,0.5695156788825989,0.274375
2,0.34475146055221556,0.14125,0.3824247997999191,0.155625
3,0.2206242582947016,0.07828125,0.3348232102394104,0.128125
4,0.13612797237932683,0.04640625,0.33731609165668486,0.129375
5,0.0886131973657757,0.02640625,0.32276588439941406,0.125625
6,0.05939640125259757,0.01640625,0.3514904534816742,0.128125
7,0.035317885025870056,0.0096875,0.3400123190879822,0.13
8,0.027523935274221003,0.00609375,0.3424832600355148,0.13
9,0.023285011742264033,0.00609375,0.3336378902196884,0.123125
10,0.009111140695167705,0.00171875,0.32607173144817353,0.11875
11,0.0118690158741083,0.00265625,0.3352327698469162,0.116875
12,0.008505466660135425,0.00296875,0.3393017649650574,0.120625
13,0.0033135753724491224,0.000625,0.37078215897083283,0.118125
14,0.003022791531693656,0.000625,0.3727382612228394,0.116875
15,0.0034032308918540365,0.00109375,0.364590517282486,0.118125
16,0.011203720814955886,0.0040625,0.3678251671791077,0.113125
17,0.008792449644824956,0.001875,0.36811727344989775,0.12
18,0.001128222044208087,0.00015625,0.3795138064026833,0.118125
19,0.0002816009888192639,0.0,0.4002607607841492,0.118125
20,0.00021580386615823954,0.0,0.4122734349966049,0.118125
21,0.00016169568378245457,0.0,0.4244744467735291,0.119375
22,0.0001324323563312646,0.0,0.4374214631319046,0.12
23,0.00010947721973934676,0.0,0.44697073876857757,0.11875
24,9.334421753010247e-05,0.0,0.4546426558494568,0.11875
